,Domain.Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Production in tonnes,Flag,FlagD
441,QC,Crops,100,India,5419,Yield,280,Dry Fruits,1998,6000,Fc,Calculated data
442,QC,Crops,100,India,5419,Yield,280,Dry Fruits,1999,5502,Fc,Calculated data
443,QC,Crops,100,India,5419,Yield,280,Dry Fruits,2000,5938,Fc,Calculated data
444,QC,Crops,100,India,5419,Yield,280,Dry Fruits,2001,4755,Fc,Calculated data
445,QC,Crops,100,India,5419,Yield,280,Dry Fruits,2002,5689,Fc,Calculated data
446,QC,Crops,100,India,5419,Yield,280,Dry Fruits,2003,4831,Fc,Calculated data
447,QC,Crops,100,India,5419,Yield,280,Dry Fruits,2004,3707,Fc,Calculated data
448,QC,Crops,100,India,5419,Yield,280,Dry Fruits,2005,4703,Fc,Calculated data
449,QC,Crops,100,India,5419,Yield,280,Dry Fruits,2006,6270,Fc,Calculated data
450,QC,Crops,100,India,5419,Yield,280,Dry Fruits,2007,6857,Fc,Calculated data
451,QC,Crops,100,India,5419,Yield,280,Dry Fruits,2008,6419,Fc,Calculated data
452,QC,Crops,100,India,5419,Yield,280,Dry Fruits,2009,6422,Fc,Calculated data
453,QC,Crops,100,India,5419,Yield,280,Dry Fruits,2010,6213,Fc,Calculated data
454,QC,Crops,100,India,5419,Yield,280,Dry Fruits,2011,6549,Fc,Calculated data
455,QC,Crops,100,India,5419,Yield,280,Dry Fruits,2012,8146,Fc,Calculated data
456,QC,Crops,100,India,5419,Yield,280,Dry Fruits,2013,7267,Fc,Calculated data
457,QC,Crops,100,India,5419,Yield,280,Dry Fruits,2014,8071,Fc,Calculated data
458,QC,Crops,100,India,5419,Yield,289,Spices,1994,2993,Fc,Calculated data
459,QC,Crops,100,India,5419,Yield,289,Spices,1995,2908,Fc,Calculated data
460,QC,Crops,100,India,5419,Yield,289,Spices,1996,3215,Fc,Calculated data
461,QC,Crops,100,India,5419,Yield,289,Spices,1997,3422,Fc,Calculated data
462,QC,Crops,100,India,5419,Yield,289,Spices,1998,3277,Fc,Calculated data
463,QC,Crops,100,India,5419,Yield,289,Spices,1999,3076,Fc,Calculated data
464,QC,Crops,100,India,5419,Yield,289,Spices,2000,3010,Fc,Calculated data
